smiles,A,B,C,mu,alpha,homo,lumo,gap,r2,zpve,u0,u298,h298,g298,cv,u0_atom,u298_atom,h298_atom,g298_atom,MaxAbsEStateIndex,MaxEStateIndex,MinAbsEStateIndex,MinEStateIndex,qed,SPS,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,AvgIpc,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
C1CN(C1)C(=O)C2CC2,4.00093,0.99124,0.86121,3.7238,82.79,-0.2318,0.0287,0.2605,1395.4956,0.171754,-403.1549,-403.145881,-403.144937,-403.190247,32.263,-1930.250942,-1942.366886,-1953.62879,-1796.183017,11.11351852,11.11351852,0.417824074,0.417824074,0.503011911,25.55555556,125.171,114.083,125.084064,50,0,0.225180485,-0.342327914,0.342327914,0.225180485,1.333333333,2,2.333333333,16.15440563,10.17599652,2.345412091,-2.303815531,2.316401619,-2.423379537,5.810831092,-0.135465018,2.365712011,1.877242796,135.8515772,6.267584714,5.468346061,5.468346061,4.377010098,3.665358191,3.665358191,2.953112912,2.953112912,2.094327082,2.094327082,1.125097102,1.125097102,-0.53,208.182657,5.270170382,1.723431283,0.823963656,54.83859718,4.899909731,0,0,5.907179729,0,0,4.794537184,0,0,0,0,19.26246487,19.00741886,0,4.794537184,5.907179729,0,4.899909731,5.917906046,19.26246487,13.08951281,0,0,0,0,0,0,0,23.89660227,4.794537184,5.917906046,19.26246487,0,0,0,0,20.31,0,4.794537184,0,0,11.82508578,25.93115606,6.420821623,0,4.899909731,0,0,0,0,13.08342593,0,0,0.853287037,0,3.516990741,2.046296296,0,0.857142857,9,0,2,1,1,2,0,0,0,1,0,2,1,1,1,2,2,0.6287,33.921,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N=C1OCC2COC1O2,2.78691,1.87641,1.49602,3.9183,65.22,-0.2623,0.0112,0.2735,903.2578,0.127171,-475.028759,-475.021947,-475.021003,-475.060126,26.378,-1578.429864,-1588.375254,-1597.265174,-1468.094329,7.100324074,7.100324074,0.059351852,-0.510416667,0.489698449,40.66666667,129.115,122.059,129.0425931,50,0,0.238981419,-0.474616821,0.474616821,0.238981419,1.444444444,2.333333333,3.111111111,16.75933848,10.38875824,2.35246964,-2.182150821,2.176081923,-2.325946072,5.766474707,-0.058919985,2.246159233,2.137918199,147.1385336,6.267584714,4.793658972,4.793658972,4.360173345,2.843752911,2.843752911,2.098606874,2.098606874,1.388343436,1.388343436,0.923730095,0.923730095,-0.61,211.1389679,5.196604357,1.683003428,0.709941894,52.21334387,14.21058886,12.71084835,0,12.18777207,0,0,5.409283606,0,0,0,0,0,0,6.606881965,14.21058886,5.897745344,5.409283606,0,0,12.39399312,13.21376393,0,0,0,0,0,0,0,31.50550239,14.21058886,5.409283606,0,0,0,0,0,51.54,6.290026729,0,0,12.00171173,13.21376393,0,0,0,0,0,19.61987247,15.05324074,0,0,7.100324074,0,0.100694444,0,-0.451064815,1.030138889,0,0.8,9,1,4,0,2,2,0,0,0,4,1,4,0,0,2,2,2,-0.26463,28.2917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC1C=CC2=C1C=NO2,3.2843,1.58867,1.1333,3.8735,77.13,-0.2239,-0.0379,0.186,1041.9593,0.12634,-400.748471,-400.741509,-400.740564,-400.779808,27.286,-1675.898326,-1685.750845,-1694.640138,-1566.056014,4.909537037,4.909537037,0.491898148,0.491898148,0.522751432,22.55555556,121.139,114.083,121.0527638,46,0,0.162598043,-0.356650833,0.356650833,0.162598043,1.666666667,2.555555556,3.333333333,16.45909677,10.10343162,2.151229226,-1.915469853,2.278058115,-1.794001274,5.554661623,0.412349081,2.35255791,2.598690643,249.173759,6.267584714,5.164862963,5.164862963,4.377010098,3.00493956,3.00493956,2.293180255,2.293180255,1.654198055,1.654198055,1.060256557,1.060256557,-1.05,228.1981172,4.793918729,1.467165814,0.528525927,53.16107094,4.523094937,0,5.760247419,0,0,0,0,0,0,0,18.15642056,6.076020107,11.48135754,6.196843572,4.523094937,6.076020107,0,5.156663257,0,12.84164325,0,23.59656259,0,0,0,0,0,0,5.156663257,0,0,24.16534216,16.79595862,0,6.076020107,0,26.03,0,0,0,0,5.917906046,5.760247419,5.563451492,6.196843572,6.076020107,18.15642056,4.523094937,4.909537037,0,0,3.667962963,1.203703704,1.41087963,0,5.850046296,2.124537037,0,0.285714286,9,0,2,1,0,1,0,1,1,2,0,2,0,0,0,0,2,1.8049,33.952,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC1OCC11CC2CC12,2.93617,1.36678,1.19923,1.8805,81.56,-0.2394,0.0826,0.322,1136.471,0.182618,-387.043706,-387.035361,-387.034417,-387.076852,32.549,-2009.079878,-2022.507943,-2034.362843,-1867.253431,5.385416667,5.385416667,0.59837963,0.59837963,0.474409572,68.33333333,124.183,112.087,124.088815,50,0,0.062791409,-0.377138162,0.377138162,0.062791409,1.555555556,2.444444444,2.555555556,16.51442827,9.627225611,2.692455632,-2.53455424,2.715837061,-2.561284727,5.170413322,-0.221438449,2.397960743,1.8807046,159.9505705,6.060477932,5.761619442,5.761619442,4.328133815,3.944262919,3.944262919,3.99279514,3.99279514,3.714956158,3.714956158,2.753821044,2.753821044,-0.04,213.4185061,4.72621024,1.072642205,0.337138595,55.3898976,4.736862954,0,0,0,0,0,0,0,0,0,0,31.60119254,5.414990469,12.71084835,4.736862954,0,0,0,17.25080256,25.86934683,6.606881965,0,0,0,0,0,0,0,12.71084835,4.736862954,17.25080256,19.76538045,0,0,0,0,9.23,0,0,0,0,11.51895686,18.44269406,12.84164325,0,0,6.9237372,4.736862954,5.385416667,0,0,0,0.712962963,2.233888889,0,3.604861111,3.31287037,0,1,9,0,1,2,1,3,0,0,0,1,0,1,0,2,1,3,3,1.4313,34.061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC1(C)COC1CC#C,3.12338,0.97428,0.90842,2.3163,84.86,-0.2433,0.0544,0.2976,1403.4409,0.17949,-387.044662,-387.034559,-387.033614,-387.080017,37.346,-2009.679776,-2022.00468,-2033.858953,-1869.239497,5.243888889,5.243888889,0.30787037,0.30787037,0.480435594,30.55555556,124.183,112.087,124.088815,50,0,0.075673585,-0.375922765,0.375922765,0.075673585,1.777777778,2.444444444,2.555555556,16.51391361,9.809424813,2.384625749,-2.428761577,2.346741877,-2.466350819,4.96603536,-0.163697088,1.808398218,2.383639185,141.1368501,6.905777394,5.977162391,5.977162391,4.165831887,3.217082736,3.217082736,3.196475662,3.196475662,1.831394252,1.831394252,0.976774378,0.976774378,-0.48,84.99471623,6.637370892,2.039409201,1.086832867,56.4007853,4.736862954,0,0,0,0,0,0,0,0,12.34378421,13.8474744,0,11.83581209,12.71084835,4.736862954,0,0,0,5.414990469,26.37226241,6.606881965,0,0,12.34378421,0,0,0,0,12.71084835,4.736862954,17.75877468,20.26829602,0,0,0,0,9.23,0,0,0,0,11.51895686,13.02770359,0,0,0,19.76790872,11.16021285,5.243888889,0,0,0,0.325763889,2.60025463,0,6.194814815,5.218611111,0,0.75,9,0,1,0,1,1,0,0,0,1,0,1,1,0,1,1,1,1.4347,36.971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
CC1OC(=N)CC1O,3.52496,1.74256,1.32597,2.6938,65.52,-0.2559,0.0294,0.2854,936.6266,0.142469,-401.022906,-401.014996,-401.014051,-401.055073,29.633,-1614.938337,-1625.083275,-1634.566191,-1501.11699,8.902268519,8.902268519,0.178240741,-0.456018519,0.471262976,37.5,115.132,106.06,115.0633285,46,0,0.183060134,-0.475373387,0.475373387,0.183060134,1.875,2.5,2.625,16.5182308,10.20052076,2.256070038,-2.031187602,2.126714751,-2.149879886,5.748721652,0.085888188,1.850845326,2.506366597,100.9962973,6.14626437,4.717269206,4.717269206,3.698377303,2.620510579,2.620510579,2.017617613,2.017617613,1.264541605,1.264541605,0.706959274,0.706959274,-0.57,66.63043175,5.564589502,1.742777784,0.815670623,47.78631831,9.843390349,6.103966388,5.897745344,0,0,0,5.409283606,0,0,0,0,6.9237372,0,12.52478801,9.843390349,5.897745344,5.409283606,0,0,25.5524916,0,0,0,0,0,0,0,0,23.21220551,4.736862954,5.409283606,13.34455882,0,0,0,0,53.31,6.103966388,0,0,12.00171173,6.420821623,0,0,6.9237372,0,0,15.25267395,4.806712963,0,0,15.82949074,0,0.199074074,0,-0.258101852,1.756157407,0,0.8,8,2,3,0,1,1,0,0,0,3,2,3,0,0,1,1,1,0.13337,28.8975,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1C2C=CC3CCC2C13,2.65451,1.99721,1.77432,0.209,85.04,-0.2283,0.02,0.2482,914.1138,0.187801,-349.96244,-349.956073,-349.955128,-349.992585,28.422,-2094.760584,-2109.430489,-2121.284762,-1951.307006,2.474537037,2.474537037,1.013888889,1.013888889,0.429878239,59.55555556,120.195,108.099,120.0939004,48,0,-0.019922047,-0.084843496,0.084843496,0.019922047,0.888888889,1.777777778,2.444444444,14.53768455,9.607352739,2.490519227,-2.439384889,2.577208443,-2.364253435,5.157451146,0.108715586,2.059452778,2.080038842,168.8771238,5.844934983,5.585421959,5.585421959,4.449489743,4.132993162,4.132993162,3.853371151,3.853371151,3.632993162,3.632993162,3.050613334,3.050613334,-0.26,224.4803529,4.539257202,1.254728742,0.384899778,55.95169145,0,0,0,0,0,0,0,0,0,0,12.15204021,42.93408905,0,0,0,0,0,0,23.67162418,19.26246487,0,12.15204021,0,0,0,0,0,0,0,0,23.67162418,19.26246487,12.15204021,0,0,0,0,0,0,0,0,0,23.67162418,19.26246487,0,0,12.15204021,0,0,0,0,0,0,4.313657407,0,9.519675926,0,0,0.777777778,9,0,0,3,0,3,0,0,0,0,0,0,0,2,0,2,3,2.2185,36.951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1CC2OC=NC2C=C1,3.39676,1.55399,1.12468,2.0893,76.35,-0.2422,0.0093,0.2516,1057.4914,0.151362,-401.965317,-401.958485,-401.957541,-401.99645,27.64,-1811.628523,-1823.339724,-1833.415636,-1688.287237,5.213935185,5.213935185,0.332175926,0.332175926,0.442362057,38.22222222,123.155,114.083,123.0684139,48,0,0.170177311,-0.477718482,0.477718482,0.170177311,1.555555556,2.555555556,3.444444444,16.49424178,10.00739285,2.242575353,-2.158626459,2.200171903,-2.214142132,5.505934642,0.198971215,2.332743027,2.165027379,162.2990861,6.104448007,5.156426794,5.156426794,4.466326495,3.304298881,3.304298881,2.425110014,2.425110014,1.800669984,1.800669984,1.268633407,1.268633407,-0.79,254.26899,5.031464655,1.865035648,0.744808598,54.23650609,4.736862954,12.14580722,6.400660921,0,0,0,0,4.992404733,0,0,12.15204021,12.84164325,0,0,4.736862954,6.400660921,0,0,4.992404733,24.98745046,0,12.15204021,0,0,0,0,0,0,18.54646814,4.736862954,0,12.84164325,17.14444495,0,0,0,21.59,0,0,0,0,12.14580722,12.84164325,0,6.400660921,0,17.14444495,4.736862954,5.213935185,0,4.123657407,0,0,0,0.332175926,8.496898148,0,0,0.571428571,9,0,2,1,1,2,0,0,0,2,0,2,0,0,0,0,2,1.1321,35.527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCC(OCC#C)C#C,2.04759,1.03241,0.72084,1.0399,84.9,-0.2603,0.0197,0.2799,1573.0756,0.154518,-385.809024,-385.798375,-385.797431,-385.845389,37.901,-1862.15743,-1872.362609,-1883.031517,-1735.721897,5.080462963,5.080462963,0.110138889,-0.110138889,0.508240164,11.44444444,122.167,112.087,122.0731649,48,0,0.118520752,-0.352899391,0.352899391,0.118520752,1.555555556,2.222222222,2.555555556,16.48447785,10.28291222,1.967235968,-2.040269191,1.929304756,-2.076732621,4.949173372,0.117602587,1.909923326,3.374708182,135.6270751,7.112884175,5.55451266,5.55451266,4.346065215,2.859311261,2.859311261,1.578685278,1.578685278,0.924534454,0.924534454,0.432519537,0.432519537,-0.92,99.31601295,8.08,5.221242938,3.644971751,56.40584184,4.736862954,12.71084835,0,0,0,0,0,0,0,12.84669979,18.76460584,6.420821623,0,0,4.736862954,0,0,0,0,19.44852521,6.606881965,0,0,24.68756843,0,0,0,0,12.71084835,4.736862954,24.68756843,13.34455882,0,0,0,0,9.23,0,0,0,6.103966388,6.606881965,6.420821623,0,0,6.9237372,11.84086864,17.58356275,5.017361111,0,0,0,0,4.817777778,0,10.73058485,2.267609599,0,0.5,9,0,1,0,0,0,0,0,0,1,0,1,3,0,0,0,0,1.048,37.697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
c1[nH]c2c(n1)NC=NC2,3.79444,1.65209,1.16149,2.1717,72.31,-0.1858,0.0202,0.2059,977.7085,0.117641,-413.037192,-413.030434,-413.02949,-413.068419,26.232,-1547.594071,-1556.684794,-1564.981718,-1443.699916,3.998842593,3.998842593,0.710648148,0.710648148,0.52175837,14.66666667,122.131,116.083,122.0592462,46,0,0.153791437,-0.345120503,0.345120503,0.153791437,1.555555556,2.555555556,3.444444444,15.10430111,10.3960989,2.043035384,-2.022929312,2.111037955,-2.033699135,5.76104643,1.00490178,2.332743027,2.462276564,214.3609632,6.104448007,4.756234511,4.756234511,4.466326495,2.737136003,2.737136003,1.843821726,1.843821726,1.260233032,1.260233032,0.809647797,0.809647797,-1.32,254.26899,4.548568031,1.579746669,0.595080956,52.02944927,10.30076712,0,5.817862778,0,0,0,4.992404733,4.983978521,0,0,0,0,0,24.90453984,0,12.15639814,0,9.967957042,4.992404733,6.544756406,5.316788604,12.02124807,0,0,5.316788604,5.817862778,0,0,16.3064924,6.544756406,0,5.693927995,11.31972481,0,0,0,53.07,0,0,0,0,6.544756406,11.51179077,0,12.66585544,0,20.27715038,0,0,0,10.95236111,2.908564815,1.053240741,0.893518519,0,3.315,0.710648148,0,0.2,9,2,4,0,1,1,0,1,1,3,2,4,0,0,0,0,2,0.3635,34.4064,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,2,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC1(CCO)CCO1,3.71405,1.20449,1.10348,2.2258,70.63,-0.2434,0.0745,0.318,1161.5826,0.175765,-386.122417,-386.11327,-386.112326,-386.156596,33.101,-1825.643937,-1837.678932,-1848.941463,-1693.336802,8.486875,8.486875,0.022569444,0.022569444,0.570494876,36.75,116.16,104.064,116.0837296,48,0,0.069782172,-0.396263323,0.396263323,0.069782172,1.75,2.375,2.5,16.52298905,9.940646369,2.312490323,-2.376096276,2.277564458,-2.406252741,4.809228789,-0.142691131,1.636452798,2.195041844,76.59772061,6.035533906,5.183889011,5.183889011,3.767766953,3.016133827,3.016133827,2.521974571,2.521974571,1.722066792,1.722066792,0.884196456,0.884196456,-0.08,49.09358393,6.046262626,2.033781213,1.00855457,49.46590943,9.843390349,0,0,0,0,0,0,0,0,0,0,19.76538045,6.606881965,12.20793278,9.843390349,0,0,0,0,25.36643126,13.21376393,0,0,0,0,0,0,0,23.92134213,4.736862954,0,19.76538045,0,0,0,0,29.46,0,0,0,12.20793278,0,19.44852521,0,0,6.9237372,0,9.843390349,5.198611111,0,0,8.486875,0.022569444,0,0,1.889444444,3.1525,0,1,8,1,2,0,1,1,0,0,0,2,1,2,2,0,1,1,1,0.5478,30.6768,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC12CC3C(N=CO1)C23,2.73629,2.0772,1.51756,2.2854,74.39,-0.2361,0.0205,0.2566,911.1475,0.149754,-401.939563,-401.932668,-401.931723,-401.970301,28.681,-1795.467656,-1807.139324,-1817.214608,-1671.878504,5.393518519,5.393518519,0.205439815,0.205439815,0.467049177,65.66666667,123.155,114.083,123.0684139,48,0,0.17004371,-0.477070146,0.477070146,0.17004371,1.777777778,2.666666667,3.333333333,16.50526315,9.817507156,2.721645985,-2.356266556,2.658828094,-2.40110364,5.533229701,-0.0115276,2.389656913,2.067699093,201.0928318,6.060477932,5.371969744,5.371969744,4.312278497,3.506701001,3.506701001,3.569351763,3.569351763,3.028044639,3.028044639,2.412183019,2.412183019,-0.53,248.5243189,4.311528395,0.916632755,0.296195145,53.92027797,4.736862954,5.601050811,6.400660921,0,0,0,4.992404733,0,0,0,0,19.26246487,5.917906046,6.041840829,4.736862954,6.400660921,0,0,16.82821682,24.98745046,0,0,0,0,0,0,0,0,18.04355256,4.736862954,11.83581209,13.34455882,4.992404733,0,0,0,21.59,0,0,0,5.601050811,6.041840829,11.83581209,6.420821623,6.400660921,0,11.91614193,4.736862954,5.393518519,0,4.224606481,0,0.205439815,1.690972222,0.65625,2.885416667,2.193796296,0,0.857142857,9,0,2,2,1,3,0,0,0,2,0,2,0,2,0,2,3,0.8219,33.367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cc1ncc(n1C)C#C,3.40335,1.31222,0.95844,3.4032,87.13,-0.208,-0.0058,0.2022,1200.0081,0.135258,-380.89175,-380.882507,-380.881563,-380.926768,32.935,-1753.53625,-1762.845973,-1772.328889,-1639.266234,5.153148148,5.153148148,0.826388889,0.826388889,0.460928435,9,120.155,112.091,120.0687483,46,0,0.111316213,-0.324954516,0.324954516,0.111316213,1.777777778,2.444444444,2.666666667,15.0438149,10.48481974,1.952301966,-1.926073351,1.971305639,-1.928068355,5.231077147,0.847197404,2.149738572,3.236812308,252.3701341,6.853371151,5.549127729,5.549127729,4.253218858,2.703583148,2.703583148,1.894007458,1.894007458,1.368316462,1.368316462,0.63617601,0.63617601,-1.23,137.5832686,5.898700129,1.943161461,0.812376864,54.52917686,4.567099648,11.51833249,0,0,0,0,0,4.983978521,0,6.423349896,5.920434319,6.9237372,7.047671983,6.196843572,0,0,0,9.551078169,7.047671983,6.9237372,0,17.71517606,0,12.34378421,0,0,0,0,9.551078169,7.047671983,19.26752141,11.51833249,6.196843572,0,0,0,17.82,0,0,0,0,0,11.51833249,0,6.196843572,18.53850883,10.90441284,6.423349896,1.875,0,4.007453704,0,0.826388889,3.463703704,0,6.842962963,1.9175,1.900324074,0.285714286,9,0,2,0,0,0,0,1,1,2,0,2,0,0,0,0,1,0.70982,35.88,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Cn1c2ncnn2nn1,3.71376,1.7883,1.21637,3.7432,65.59,-0.264,-0.0431,0.2209,930.1596,0.092463,-445.072493,-445.065833,-445.064889,-445.10414,23.897,-1272.537424,-1279.911282,-1287.022214,-1181.66157,3.868055556,3.868055556,0.648148148,0.648148148,0.444960591,10.77777778,124.107,120.075,124.0497441,46,0,0.269714174,-0.213080647,0.269714174,0.213080647,1.444444444,2.333333333,3.111111111,15.65236773,11.07355537,1.980979728,-1.773027639,1.866536109,-1.895053546,5.19375803,0.683733583,2.35255791,2.990437067,317.499005,6.267584714,4.760631842,4.760631842,4.377010098,2.434431768,2.434431768,1.651974508,1.651974508,1.061433259,1.061433259,0.643633312,0.643633312,-1.46,228.1981172,4.421922239,1.276445289,0.438157526,50.08604373,0,6.327320075,0,0,5.777653724,0,0,4.681802935,4.983978521,5.098681808,4.630101181,10.42677019,7.047671983,0,0,5.777653724,0,29.82133464,7.047671983,0,0,6.327320075,0,0,0,0,0,0,29.82133464,7.047671983,0,0,6.327320075,0,5.777653724,0,60.9,0,0,0,0,5.777653724,0,10.95742126,11.72947492,0,20.50943052,0,2.909722222,0,3.868055556,11.04527778,0,0.648148148,0,1.434537037,0,1.760925926,0.333333333,9,0,6,0,0,0,0,2,2,6,0,6,0,0,0,0,2,-1.1422,27.548,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
